country,year,life_ladder,log_gdp_per_capita,social_support,life_expec,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,confidence_in_national_government,democratic_quality,delivery_quality,standard_deviation_of_ladder_by_country_year,standard_deviation_mean_of_ladder_by_country_year,gini_index_world_bank_estimate,gini_index_world_bank_estimate_average_2000_15,gini_of_household_income_reported_in_gallup_by_wp5_year,continent,country_code,populacao_2020
Palestinian Territories,2017,4.6281328201293945,NA,0.8243451118469238,63.0724983215332,0.6316112875938416,NA,0.8306463360786438,0.5967655777931213,0.4160720407962799,0.41440093517303467,NA,NA,2.521674156188965,0.5448578000068665,NA,NA,0.4788648188114166,Asia,275,5101.415999999999
Panama,2017,6.5676589012146,10.002714157104492,0.9119048118591309,68.04541015625,0.8995735049247742,-0.16408047080039978,0.8407770991325378,0.8326888084411621,0.24231933057308197,0.3909960985183716,NA,NA,2.67718768119812,0.4076319634914398,NA,0.53675,0.4743426740169525,Americas,591,4314.768
Peru,2017,5.710936546325684,9.413349151611328,0.8301233649253845,65.40724182128906,0.826552152633667,-0.16674742102622986,0.8953841328620911,0.7893908619880676,0.3938737213611603,0.2545953392982483,NA,NA,2.5943140983581543,0.45427122712135315,NA,0.48918749999999994,0.4794696271419525,Americas,604,32971.846000000005
Philippines,2017,5.5942702293396,8.93896770477295,0.851028561592102,60.25149154663086,0.9257031083106995,-0.14785166084766388,0.7111655473709106,0.7689814567565918,0.3406215012073517,0.8377300500869751,NA,NA,2.5971851348876953,0.464258074760437,NA,0.41883333333333334,0.5033991932868958,Asia,608,109581.08499999999
Poland,2017,6.201268196105957,10.211139678955078,0.8818541169166565,69.0968017578125,0.8308426141738892,-0.13313400745391846,NA,0.6774355173110962,0.2033877968788147,0.5024804472923279,NA,NA,1.6274428367614746,0.262437105178833,NA,0.3347333333333333,0.26008787751197815,Europe,616,37846.604999999996
Portugal,2017,5.711499214172363,10.236708641052246,0.8999848365783691,72.15874481201172,0.905065655708313,-0.18259839713573456,0.8809705376625061,0.649151086807251,0.2942725718021393,0.5010881423950195,NA,NA,2.2050867080688477,0.38607844710350037,NA,0.36700000000000005,0.4455280900001526,Europe,620,10196.706999999999
Romania,2017,6.08990478515625,10.028891563415527,0.8112401366233826,66.857086181640625,0.838586688041687,-0.1644207388162613,0.9256580471992493,0.7337303757667542,0.2308361977338791,0.2983413338661194,NA,NA,2.1412980556488037,0.351614385843277,NA,0.2909285714285715,0.412117600440979,Europe,642,19237.682
Russia,2017,5.578742980957031,10.103683471679688,0.8961513042449951,62.978782653808594,0.730874240398407,-0.15856778621673584,0.8615902066230774,0.7102302312850952,0.19456052780151367,0.5565972328186035,NA,NA,2.1246886253356934,0.38085436820983887,NA,0.39924999999999994,0.3776797354221344,Europe,643,145934.45999999996
Saudi Arabia,2017,6.29428243637085,10.81198787689209,0.8400862812995911,64.083740234375,0.8141421675682068,-0.1569054126739502,NA,0.7748757004737854,0.3058418929576874,NA,NA,NA,2.508923053741455,0.39860349893569946,NA,NA,0.4518894851207733,Asia,682,34813.867
Senegal,2017,4.683024883270264,7.811985492706299,0.7437593340873718,57.98087692260742,0.6869370341300964,-0.029066098853945732,0.8252418637275696,0.7457320690155029,0.29083606600761414,0.6107227802276611,NA,NA,2.0076375007629395,0.42870527505874634,NA,0.4023333333333334,0.43669450283050537,Africa,686,16743.93
