"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","17/11/2020","","Alinhamento do Site Covid/Retomada/Posicionamento","Esplanada dos Ministérios Bloco A","17:00","18:00","José Augusto -  Chefe de Gabinete SPP ,  Wilka Oliveira -  Coordenadora Geral de conteúdo e Publicidade, Daniele Maldaner- Assessora/Mídia, Mateus Colombo – Diretor de Conteúdo e Gestão de Canais, Amanda Leiria - Coordenadora-Geral do Departamento de Conteúdo e Gestão de Canais.",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","18/11/2020","","Publicidade","Esplanada dos Ministérios Bloco A","15:00","15:30","Luiz Antonio Alves - Coordenador Geral de Mídia, Mário Neves- Diretor de Comercialização e Marketing Diário Associados-MG, Paulo Cesar Marques- Diretor de Comercialização e Marketing Diário Associados-DF",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","18/11/2020","","Apresentação","Esplanada dos Ministérios Bloco A 6º andar","18:00","18:30","Luiz Antônio Oliveira Alves – Coordenador Geral de Mídia, Gislaine Passador- Diretora do Departamento de Publicidade, Rodrigo Saccone- Assessor de Comunicação do MDR",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","18/11/2020","","Audiência com o Ministro das Comunicações, Fábio Faria","Esplanada dos Ministérios, Bloco R, Edifício Sede, 9º andar","16:00","16:30","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","18/11/2020","","Apresentação/Band","Esplanada dos Ministérios Bloco A","17:30","18:00","Luiz Antônio Oliveira Alves - Coordenador-Geral de Mídia, Flávio Lara Resende – Diretor Geral da TV Bandeirantes , Orlando Videira – Diretor Comercial da TV  Bandeirantes",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","18/11/2020","","Jovem Pan","Esplanada dos Ministérios Bloco A","11:00","12:00","Luiz Antonio Alves - Coordenador Geral de Mídia, Antonio Augusto-  Presidente da Jovem Pan, Marcelo Carvalho -Vice Presidente, Camila Carvalho- Diretora Comercial",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","23/11/2020","","Rede Brasil de Televisão","Esplanada dos Ministérios Bloco A 6º andar","17:00","17:30","Luiz Antonio Alves - Coordenador Geral de Mídia, Régis Santos- Diretor Executivo da Rede Brasil de Televisão",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","24/11/2020","","Reunião:  Política Nacional de Desenvolvimento","Esplanada dos Ministérios Bloco A 6º andar","10:00","11:00","Gislaine Bittencourt – Diretora de Publicidade;, José Augusto – Chefe de Gabinete;,  Luiz Antonio – Coordenador-Geral de Mídia",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","24/11/2020","","Contratos de Publicidade","Esplanada  Bloco A sala 610  (Videoconferência)","11:00","12:00","Fabio Wajngarten-Secretário Especial de Comunicação Social, Peter Erik Kummer – Diretor do Departamento de Gestão e Normas, João Paulo Dondelli – Diretor do Departamento de Projetos Especiais da SPP",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","24/11/2020","","Bueno Comunicação e Representantes","Esplanada  Bloco A sala 610  (Videoconferência)","15:00","15:30","Equipe: Secretaria de Publicidade e Promoção , Francisco Bueno- Diretor Geral, Daniela Bueno- Diretora Geral de Unidade, Heron Domingues- Diretor Executivo/Sempre Editora, Alessandra Soares- Diretora Comercial/Sempre Editora, Carlos Namur- Diretor Executivo/Grupo O liberal (PA), Rosangela Maiorana- Diretora/Grupo O liberal (PA), Marcello Moraes- Diretor Executivo/Rede Gazeta do Espirito Santo, Márcio Chagas- Diretor de Mercado/Rede Gazeta do Espirito Santo",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","24/11/2020","","Introdução ao time, atualização cadastral, processos em pendencia","Esplanada  Bloco A sala 610  (Videoconferência)","16:00","16:30","Luiz Antônio Oliveira Alves –  Coordenador Geral;, Marília de Assumpção - Head América Latina para GPA (Governos, Políticos e Associações);, Lilian Estevanato - Gerente de Parcerias Brasil para GPA (Governos, Políticos e Associações);, Débora Fettermann - Gerente de Políticas Públicas do Facebook., Kaliana Kalache - Gerente de Políticas Públicas",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","24/11/2020","","Cerimônia em Comemoração aos 20 Anos do Fundo para o Desenvolvimento Tecnológico das Telecomunicações (Funttel)","Auditório Lourenço Nassib Chehab, Bloco R subsolo - Ministério das Comunicações","17:00","17:30","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","25/11/2020","","Reunião TCU - SECOM","Esplanada  Bloco A sala 610  (Videoconferência)","10:30","11:30","José Augusto Carvalho - Chefe de Gabinete da SEPUP, Luiz Antônio Oliveira Alves - Diretor substituto do Departamento de Mídia e Promoção, Peter Erik kummer - Diretor de Gestão e Normas , Carolina Scherer Bicca- Consultora Jurídica- CONJUR/MCOM, Alessandra Rodrigues de Castro- Coordenadora- Geral de Assuntos Judiciais- CONJUR/MCOM, Davi Pereira Alves- Coordenador-Geral de Comunicação Social-CONJUR/MCOM, Raul Pereira Lisboa- Diretor- Departamento de Assuntos Extrajudiciais- DEAEX, Anna Dias Rodriques - Advogada da União - DEAEX",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","25/11/2020","","Apresentação da empresa e suas propostas para 2021","Esplanada dos Ministérios Bloco A 6º andar","15:00","15:30","Luiz Antônio Oliveira Alves – Coordenador Geral, Equipe CODECS – , Edmardo Galli - Presidente da CODECS - Comunicação Especializada Mídia Digital, , Vanessa Valle - Diretora Geral, Fabio Rosa  Diretor da DS Média Representação , Luis Henrique Moraes -  CEO",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","25/11/2020","","Apresentação de um projeto focado em Podcast da Pod360","Esplanada dos Ministérios Bloco A 6º andar","17:00","17:30","Luiz Antonio Alves - Coordenador Geral de Mídia, Marcos Chehab- Ceo da Pod360, Bruno Gonçalves- Ceo da NGN Midía",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","25/11/2020","","Recurso de Acesso á Informação","Esplanada  Bloco A sala 610  (Videoconferência)","15:30","16:30","Marcos Lindenmayer - Ouvidor-Geral da União Substituto, Renata Alves - Coordenadora-Geral de Lei de Acesso á Informação, Peter Kummer - Diretor do Departamento de Gestão e Normas – SECOM, Elibio Estrela – Chefe da Assessoria Especial de Controle Interno, Tiago Palhano – Assistente na Coordenação-Geral de Orientações Normas para Comunicação, Carolina Fullana – Ouvidora MCOM",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","25/11/2020","","Campanhas Publicitárias","Esplanada dos Ministérios Bloco A 6º andar","16:00","16:30","Luiz Antonio- Coordenador Geral de Mídia, Terence  Gargantine -  Diretor Presidente da MYCUJOO",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","26/11/2020","","TV Mais e Life POA","Esplanada dos Ministérios Bloco A 6º andar","11:00","11:30","Luiz Antonio – Coordenador Geral de Mídia, Carlos Carreiras – Diretor Geral da TV Mais/Life POA",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","26/11/2020","","Reunião de alinhamento com os Secretários","Esplanada dos Ministérios Bloco R","14:30","16:00","",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","26/11/2020","","Veículo de Comunicação","Esplanada dos Ministérios Bloco A 6º andar","10:00","10:30","Marcílio Lobo-CEO da Rádio X, Ayla Fernandes- Desenvolvedora da Rádio X, Daniele Abreu –Multiplan",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","26/11/2020","","Audiência/SBT","Esplanada dos Ministérios Bloco A 6º andar","18:00","18:30","Alessandra Gama- Diretora Executiva do SBT",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","27/11/2020","","Reunião de Planejamento de Publicidade","Esplanada dos Ministérios Bloco A 6º andar","10:00","11:00","Gislaine Passador -Diretora do Departamento de Publicidade, Wilka  de Oliveira- Coordenadora Geral de Publicidade, Luís Antonio -Coordenador Geral  de Mídia, Daniele Maldaner -Assessora",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","27/11/2020","","Reuniao de planejamento","Esplanada dos Ministérios Bloco A 6º andar","15:00","16:00","Rodrigo Fayad  – Secretário de Publicidade e Promoção , José Augusto- Chefe de Gabinete, Gislaine Passador- Diretora do Departamento de Publicidade, Wilka  de Oliveira- Coordenadora Geral de Publicidade, Luís Antonio- Coordenador Geral de Mídia, José Augusto- Chefe de Gabinete, Daniele Maldaner –Assessora, Adriana e Samir-Calia , Bete Rosa e Carla Russi-NBS, Cáca e Larissa-Artplan",""
"Secretário de Publicidade e Promoção","","Ministéro das Comunicações","Rodrigo Fayad de Albuquerque","01/12/2020","","Agenda Dynadmic","Esplanada dos Ministérios Bloco A 6º andar","16:00","16:30","Luiz Antônio Oliveira Alves  – Coordenador Geral de Mídia, Márcio Figueira - Country Manager no Brasil da Dynadmic",""
