"Título da Agenda","Descrição da Agenda","Nome do Órgão","Nome da Autoridade","Data da Agenda Diária","Informações Gerais","Compromisso","Local do Compromisso","Horário de Inicio","Horário de Término","Outros Participantes","Pauta"
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","13/10/2020","","Reunião com a empresa de comunicação corporativa BR Mais Comunicação","Palácio do Planalto, 2º andar, Sala 206","15:00","16:30","Gustavo Gouveia, , Stéfane Maia Rech , , Helida Neves",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","13/10/2020","","Reunião Conjur/Contratos","Gabinete SEXEC Bloco R sala 802","15:30","16:30","Dr.  Felipe Cruz Pedri – Secretário de Comunicação Institucional, Dr. Peter Erik Kummer  –  Diretor de  Departamento de Gestão e Normas, Rodrigo Fayad -  Secretário  de Publicidade e Promoção",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","13/10/2020","","Ponto de Controle - CGAG","Esplanada dos Ministérios  bloco A Sala 642","17:30","18:15","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","14/10/2020","","Reunião com Engenheiro da Engemil","Esplanada dos Ministérios  bloco A Sala 642","10:30","11:00","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","20/10/2020","","Ponto de controle - CGAG","Esplanada dos Ministérios  bloco A Sala 642","17:00","17:45","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","22/10/2020","","Reunião da Diretoria Colegiada","Palácio do Planalto, 2º andar, Sala 205","11:00","12:00","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","23/10/2020","","Reunião TI Mcom","Esplanada dos Ministérios Bloco A sala 610","11:00","12:00","Rodrigo Fayad  – Secretário de Publicidade e Promoção do MCom -  (61) 3411-4807, , Daniel Rogério - Coordenador  de Tecnologia da Informação do MCom – (61) 98167-5710, , José Augusto Carvalho – Assessor da SPP/MCom – (61) 3411-4912, , Carlos Márcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão do Departamento de Gestão e Normas da SCI do MCom – (61) 3411-3620",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","23/10/2020","","Reunião por Videoconferência","Esplanada dos Ministérios Bloco A sala 610","15:00","16:00","Tiago Palhano Dias Costa – Assistente na Coordenação-Geral de Orientações Normas para Comunicação, Carolina Fullana – Ouvidora MCOM , Paula Montandon – Ouvidora MCTI",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","28/10/2020","","LAIs/CGU","Esplanada dos Ministérios Bloco A sala 608","14:30","15:00","Rodrigo Fayad – Secretário de Publicidade e Promoção, , José Augusto Carvalho de Oliveira – Assessor do Departamento de Articulação e Estratégia de Comunicação – SCI;, , Luiz Antonio Alves de Oliveira – Coordenador-Geral de Mídia – SPP.",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","28/10/2020","","Reunião Contrato SERPRO","Esplanada dos Ministérios Bloco A sala 610","15:00","16:00","Carlos Márcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão – (61) 3411-3620, Rodrigo Fayad de Albuquerque – Secretário de Publicidade e Promoção",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","29/10/2020","","Ponto de controle","Esplanada dos Ministérios Bloco A sala 642","15:30","16:30","Carlos Márcio Chaves",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","03/11/2020","","Prévia da Agenda da CGU que acontecerá dia 05/11","Gabinete SEXEC Bloco R sala 800","14:30","15:15","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","03/11/2020","","RDC Contrato Digital, Gestão do Contrato e Manual de Procedimentos","Palácio do Planalto, 2º andar, sala 205.","15:00","17:00","Gustavo de Assis Calsing – Coordenador-Geral de Administração de Contratos , , Gustavo Henrique Ferreira Gouvêia – Coordenador-Geral de Orientações Normas para Comunicação , , Márcia Maria Pachaly – Assessor Técnico na Coordenação-Geral de Administração de Contratos , , Mateus Colombo Mendes – Diretor do Departamento de Conteúdo e Gestão de Canais , , Eugênia Marques Alves da Silva – Coordenadora Administrativa , , Amanda Leiria de A. H. dos Santos – Coordenadora-Geral de Conteúdo e Gestão de Canais",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","04/11/2020","","Reunião LAIs/CGU","Palacio do Planalto sala 206 2º andar","18:00","19:00","Rodrigo Fayad – Secretário de Publicidade e Promoção;, , Peter Eric Kummer – Diretor do departamento de Gestão e Normas – SCI;, , José Augusto Carvalho de Oliveira – Assessor do Departamento de Articulação e Estratégia de Comunicação – SCI;, , Luiz Antonio Alves de Oliveira – Coordenador-Geral de Mídia – SPP;, , Felipe Cruz Pedri – Secretário de Comunicação Institucional;, , Cesar Gobbi – Chefe de Gabinete da Secretaria Executiva;, , Andréa Martucelli Magalhães Paz  - Chefe de Gabinete do SCI;, , Stefane Maia Rech – Subsecretária de imprensa;",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","04/11/2020","","Ponto de controle","Esplanada dos Ministérios, Bloco A, Sala 642","11:00","12:00","Carlos Márcio Chaves",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","05/11/2020","","Reunião de Busca Conjunta de Soluções - CGU / Ministério das Comunicações","Esplanada dos Ministérios, Bloco A, Sala 642","10:00","11:30","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","05/11/2020","","Reunião Coordenadores DEGEN","Esplanada dos Ministérios, Bloco A, Sala 641","14:30","15:30","Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação , , Ruberval Monteiro da Silva – Coordenador-Geral de Conformidade , , Alexandre Antunes Vieira – Coordenador-Geral de Referências de Preços e Cadastro de Veículos , , Carlos Marcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","06/11/2020","","AEB-Projeto Agencia Espacial","Esplanada dos Ministérios, Bloco A, Sala 610","17:00","17:30","Rodrigo Fayad – Secretário de Publicidade e Promoção, , Peter Erik Kummer – Diretor do  DEGEN, , André Barreto – AEB",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","09/11/2020","","Reunião com Coordenadores do Departamento de Gestão e Normas – DEGEN.","Esplanada dos Ministérios, Bloco A, Sala 641","10:30","12:30","Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação , , Ruberval Monteiro da Silva – Coordenador-Geral de Conformidade , , Alexandre Antunes Vieira – Coordenador-Geral de Referências de Preços e Cadastro de Veículos , , Carlos Marcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","09/11/2020","","Reunião Agência ARTPLAN","Esplanada dos Ministérios, Bloco A, Sala 642","17:30","19:00","Ricardo Menezes – Agência ARTPLAN",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","09/11/2020","","Reunião de alinhamento com os Secretários","Gabinete SEXEC Bloco R sala 800","15:30","17:00","Vitor Menezes, , Artur Coimbra, Flávia Nascimento, Felipe Pedri, Rodrigo Fayad, Priscila Silva , Andréa Paz , Otávio Caixeta",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","10/11/2020","","Contrato SECOM/EBC","Palácio do Planalto, Sala 206","15:00","16:00","Felipe Cruz Pedri – Secretário de Comunicação Institucional, , Gustavo Calsign – Coordenador Geral Contratos;, , Andrea Lopes Vasconcelos Cartaxo – Coordenadora-Geral de Relacionamento da Subsecretaria de Imprensa;, , Georgeana Arrais de Carvalho Pinto – Coordenadora de Gestão da Subsecretaria de Imprensa;, , Lilian Almeida Barra – Coordenadora-Geral de Orçamento e Finanças;, , Roni Bakcis - Diretor Geral;, , Márcio Kazuaki - Diretor de  Pessoal e Finanças;, , Yatabe – Assessor;",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","10/11/2020","","Reunião da Diretoria Colegiada.","Palácio do Planalto 2º, andar sala 206.","11:00","12:00","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","10/11/2020","","Licitação de Publicidade","Esplanada dos Ministérios, Bloco A, Sala 641","15:00","18:00","Gustavo Henrique Ferreira Gouvêia – Coordenador-Geral de Orientações Normas para Comunicação , Otto Cavalcante Medina – Assessor-Técnico, Adila Quesia Gonçalves da Rocha – Assessor-Técnico , Gilvan Ferreira Ximenes – Assistente na Coordenação-Geral de Administração e Contratos, Sônia Damasco do Vale – Assistente-Técnico",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","13/11/2020","","Contratos de publicidade e contratação de serviços de comunicação digital.","Webconferência - O link será enviado posteriormente.","16:00","17:00","CONJUR: , , , Carolina Scherer Bicca - Consultora Jurídica/MCOM, Davi Pereira Alves - Coordenador-Geral da CGCS/CONJUR-MCOM, Felipe Arruda Aguiar Sobreira da Silva - Coordenador da CGCS/CONJUR/MCOM, Vitor Carvalho Curvina Costa de Araujo - Coordenador da CGCS/CONJUR/MCOM, , , SECOM:, , , Rodrigo Fayad de Albuquerque Rosa - Secretário de Publicidade e Promoção - contato 3411-4807, , Andrea Martucelli Magalhães Paes - Chefe de Gabinete - contato 3411-1014, , Peter Erik Kummer - Diretor de Gestão de Normas - contato 3411-4922, , , , SEXEC:, , , Flávia Duarte Nascimento - Secretária- Executiva Adjunta, Djair Fiorillo Lopes - Subsecretário - SPOA, Ivancir Gonçalves da Rocha - Coordenador- Geral de Recursos Logísticos",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","16/11/2020","","Reunião com Coordenadores do Departamento de Gestão e Normas – DEGEN.","Esplanada dos Ministérios, Bloco A, Sala 642","11:00","12:00","Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação , , Ruberval Monteiro da Silva – Coordenador-Geral de Conformidade , , Alexandre Antunes Vieira – Coordenador-Geral de Referências de Preços e Cadastro de Veículos , , Carlos Marcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão , , Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação , , Ruberval Monteiro da Silva – Coordenador-Geral de Conformidade , , Alexandre Antunes Vieira – Coordenador-Geral de Referências de Preços e Cadastro de Veículos , , Carlos Marcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","17/11/2020","","Reunião da Diretoria Colegiada.","Palácio do Planalto, 2º andar sala 205.","11:00","12:00","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","19/11/2020","","Discutir sobre o Decreto de Política de Comunicação.","Palácio do Planalto, 2º andar sala 206.","16:00","17:00","•	Diretora de Articulação e Estratégias de Comunicação, Roberta Ramaldes Toscano;, •	Secretário de Comunicação Institucional, Felipe Cruz Pedri;, •	Secretário de Publicidade e Promoção, Rodrigo Fayad de Albuquerque Rosa;, •	Diretor de Conteúdo e Gestão de Canais, Mateus Colombo Mendes;, •	Subsecretária de Imprensa, Stéfane Maia Rech.",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","20/11/2020","","Publicidades e propagandas - novas demandas.","Esplanada dos Ministérios, Bloco A, Sala 641.","11:00","12:00","Felipe Blanco Savaoia –  Gerente Geral da Caixa, , Camila Brea marodin -  Superintendente Nacional da Caixa",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","20/11/2020","","Mensagem Presidencial","Palácio do Planalto, 2º andar sala 206.","16:30","17:30","Cesar Gobbi – Chefe de Gabinete, , Roberta Ramaldes - Diretora de Articulação Estratégica de Comunicação, , Rafael Castelo de Carvalho - Coordenador-Geral de Articulação, , Jose Augusto Carvalho – Chefe de Gabinete da SPP",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","20/11/2020","","Reunião alinhamento de resposta do Ministério das Comunicações aos Requerimentos de Informação (RIC) recebidos 1418/2020 e 2521/2020","Esplanada dos Ministérios Bloco R, sala 902, Gabinete do Ministro.","15:30","16:30","Wagner Primo Figueiredo Neto - Chefe da Assessoria Especial de Assuntos Parlamentares - ASPAR, Flávia Nascimento - Secretária-Executiva Adjunta - SEXEC ,  Carolina Scherer Bicca  - Consultora Jurídica,  Davi Pereira Alves - Coordenador -Geral de Comunicação Social, Cesar Gobbi - Chefe de Gabinete -SECOM, Tiago Palhano Dias Costa - SECOM , Ana Carolina Fuck Fullana - Ouvidora, Mauricio Charlita de Freitas - Consultor Adjunto Consultivo -",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","20/11/2020","","Apresentação do Chefe da AECI_MCOM e assuntos de controle interno","Palácio do Planalto, 2º andar sala 205.","10:00","11:00","Elíbio Estrêla - Chefe da Assessoria Especial de Controle Interno;, Felipe Cruz Pedri - Secretário de Comunicação Institucional;, Andrea Martucelli Magalhães Paz - Chefe de Gabinete da Secretaria de Comunicação Institucional;",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","20/11/2020","","Reunião alinhamento de resposta do Ministério das Comunicações aos Requerimentos de Informação (RIC) recebidos _ 1391/2020, 1332/2020 e 1317/2020","Esplanada dos Ministérios Bloco R, sala 902, Gabinete do Ministro.","11:00","12:30","",""
"Diretor do Departamento de Gestão e Normas","","Ministéro das Comunicações","Peter Erik Kummer","23/11/2020","","Reunião de Coordenadores do Departamento de Gestão e Normas – DEGEN.","Esplanada dos Ministérios, Bloco A, Sala 641","14:00","14:30","Gustavo de Assis Calsing – Coordenador-Geral de Administração e Contratos, Gustavo Henrique Ferreira Gouveia – Coordenador-Geral de Orientações Normas para Comunicação , , Ruberval Monteiro da Silva – Coordenador-Geral de Conformidade , , Alexandre Antunes Vieira – Coordenador-Geral de Referências de Preços e Cadastro de Veículos , , Carlos Marcio Chaves – Coordenador-Geral de Sistemas de Apoio à Gestão",""
